companyID,mID,name
163,6547786,Lionsgate
164,6547786,Sprockefeller Pictures
165,6547786,Wildfire Pictures (II)
166,0109219,Barcelona Films
167,0109219,Fine Line Features
168,0163467,London Weekend Television (LWT)
169,4943218,Abis Studio
170,4943218,Imagenation Abu Dhabi FZ
171,0762114,Village Roadshow Pictures
172,0762114,Robert Simonds Productions
173,0038924,Ortus Films
174,0038924,Sydney Box Productions
175,0080764,A.M.A. Film
176,0080139,Winter Gold Productions
177,7664504,RAW
178,8236336,Vice Studios
179,8236336,Topic Studios
180,8236336,Unbranded Pictures
181,0113114,Warner Bros. Family Entertainment
182,0113114,Canal+
183,0113114,New Regency Productions
184,0087817,Broadway Pictures
185,0087817,Metro-Goldwyn-Mayer (MGM)
186,0066578,Mayflower Pictures
187,0091810,UAA Films
188,0091810,Middle Reef
189,0091810,Western Film Productions
190,4000870,Gamechanger Films
191,4000870,Leeden Media
192,4000870,Lakeview Productions
193,0465375,NALA Films
194,0465375,Supino Pictures
195,5774450,Brightlight Pictures
196,5774450,Gunpowder & Sky
197,0090669,British Broadcasting Corporation (BBC)
198,0090669,A+E Networks
199,0090669,7 Network
200,13924926,Silver Creek Films
201,0107473,Mad Dog Productions
202,1706680,Eden Pictures
203,7798604,Temple Hill Entertainment
204,0111503,Lightstorm Entertainment
205,16374856,All Canadian Entertainment
206,16374856,GAC Family
207,16374856,Hallmark Channel
208,5822848,Leo and King
209,5822848,Aerial Contrivance Workshop
210,5822848,Carte Blanche
211,5827916,Fox Searchlight Pictures
212,5827916,TSG Entertainment
213,5827916,Elizabeth Bay Productions
214,9283920,China Modern Film and Television Development
215,9283920,Film Fireworks
216,9283920,Mokexing Film
217,0452608,Cruise/Wagner Productions
218,12246190,Drama House
219,12246190,JTBC Studios
220,12246190,Samhwa Networks
221,15229966,Beta Film
222,15229966,Drugi Plan
223,15229966,HRT Television
224,6910006,Berserk Films
225,6910006,Samson Films
226,6910006,Palomar Pictures (II)
227,6089700,Big Rock Films
228,6089700,Westridge Films
229,10798660,Universal 1440 Entertainment
230,10798660,Indy Entertainment
231,0042367,Stanley Kramer Productions
232,0072288,The Malpaso Company
