mID,name,releaseDate,popularity_score,popularity_delta,color,runtime,aspectratio,imdb_rating,grossingUS_CA,grossingUS_CA_OpeningWeekend,grossingWorldwide
1194417,Casino Jack,"January 7, 2011",,,Color,108,2.35:1,6.2,"1,042,959","34,528","1,230,933"
2350892,Bad Country,"April 29, 2014",,,Color,95,1.85:1,5.8,,,
7052494,Trading Paint,"February 22, 2019",,,Color,87,2.39:1,4.4,,,"6,898"
0053232,Invasion of the Animal People,"August 19, 1959",,,Color,55,1.37:1,3.8,,,
0117631,Shine,"February 14, 1997",,,Color,105,1.85:1,7.7,"35,892,330","162,179","35,999,081"
1217613,Battle Los Angeles,"March 11, 2011","2,719","1,796",Color,116,2.35:1,5.7,"83,552,429","35,573,187","211,819,354"
12594678,This Sceptred Isle,2022,"1,838",150,Color,,,,,,
4034228,Manchester by the Sea,"December 16, 2016",741,167,Color,137,1.85:1,7.8,"47,695,371","256,498","78,988,148"
1152758,Dear Zachary: A Letter to a Son About His Father,January 2008,,,Color,95,1.33:1,8.5,"18,334","2,886","18,334"
9174578,Around the World in 80 Days,"January 2, 2022",576,51,Color,60,,7.1,,,
6205872,Assassination Nation,"September 21, 2018","4,189",832,Color,108,2.39:1,6.0,"2,005,142","1,050,021","2,584,988"
0273982,Poolhall Junkies,"February 28, 2003",,,Color,99,1.85:1,6.8,"563,711","301,856","563,711"
3105422,Ace of Diamond,"October 6, 2013",,,Color,,,8.3,,,
7129636,Hair Love,"August 14, 2019",,,Color,7,2.35:1,7.4,"330,661","1,155,505","330,661"
0098471,Three Fugitives,"January 27, 1989",,,Color,96,1.85:1,6.2,"40,586,886","6,434,717","40,586,886"
0120569,Conan the Adventurer,"September 22, 1997",,,Color,43,,5.0,,,
4648786,Harriet,"November 1, 2019","1,952",266,Color,125,2.39:1,6.6,"43,082,155","11,676,720","43,347,017"
0115685,The Birdcage,"March 8, 1996","1,927",447,Color,117,1.85:1,7.2,"124,060,553","18,275,828","185,260,553"
15169492,Rebel Robin: Surviving Hawkins,"June 29, 2021",,,,,,8.2,,,
1319694,Glorious 39,"November 20, 2009",,,Color,129,2.35:1,6.4,,,"182,253"
2112210,An Awkward Sexual Adventure,"February 21, 2013",,,Color,98,1.78:1,6.1,,,"222,560"
0118178,Wish Upon a Star,"October 12, 1996","3,612",184,Color,90,1.33:1,6.7,,,
0060522,How to Steal a Million,"August 19, 1966",,,,123,2.35:1,7.5,,,
11351236,Boy Girl Dog Cat Mouse Cheese,"October 10, 2019",,,Color,,,6.8,,,
13642264,A Love So Beautiful,"January 2, 2021",,,,,,7.5,,,
1620981,The Addams Family,"October 11, 2019","3,491",44,Color,86,1.85:1,5.8,"100,723,831","30,300,007","203,783,845"
0097444,Godzilla vs. Biollante,"December 16, 1989",,,Color,104,1.85:1,6.5,,,
0920448,Flikken Maastricht,"September 3, 2007","3,258",809,Color,50,1.33:11.78:116:9HD,7.4,,,
10899402,Hideout,"November 9, 2021","3,444",814,Color,114,1.85:1,6.0,,,
7521898,Just Between Lovers,"December 11, 2017","4,071",357,Color,70,1080i(HDTV),8.3,,,
2866708,Strange But True,"September 6, 2019",,,Color,96,2.35:1,5.9,,,"343,038"
4321306,The Disappearance of Willie Bingham,"June 23, 2016",,,Color,12,2.35:1,6.9,,,
9086228,Gretel & Hansel,"January 31, 2020","4,043",48,Color,87,1.55:1,5.4,"15,347,654","6,154,007","22,051,055"
1895315,Brimstone,"January 12, 2017","2,157",536,,148,2.35:1,7.0,,,"2,140,941"
0031405,Hare-um Scare-um,"August 12, 1939",,,,8,1.37:1,6.6,,,
2461172,All-Star Weekend,,"2,434",608,,,2.35:1,,,,
3859304,The Bronze,"March 18, 2016","4,909",875,Color,100,1.85:1,6.1,"615,816","386,328","615,816"
9169636,Wolfe,"September 10, 2021","3,780",688,Color,60,,6.6,,,
9653068,Luigi Meets a Combine Elite,2023,,,Color,,2.39:1,,,,
0119404,Jane Eyre,"October 19, 1997",,,Color,108,1.85:1,7.0,,,
13846414,Fabian: Going to the Dogs,"August 5, 2021",,,Color,176,1.37:1,7.4,"21,049","2,462","23,383"
0112466,Beach Babes 2: Cave Girl Island,"November 2, 1995",,,Color,80,1.85:1,3.4,,,
0107870,Prehysteria!,"September 24, 1993",,,Color,84,,4.5,,,
14533820,Idiot,"April 1, 2022",,,Color,126,,7.3,,,
0057813,The 7th Dawn,"August 13, 1964",,,,123,1.85:1,6.4,,,
0317740,The Italian Job,"May 30, 2003","1,345",233,Color,111,2.39:1,7.0,"106,128,601","19,457,944","176,070,171"
6409762,Big Legend,"February 18, 2021",,,Color,89,2.35:1,4.9,,,
1139797,Let the Right One In,"December 12, 2008","2,088",113,Color,114,2.35:1,7.9,"2,122,065","49,295","11,227,336"
7653254,Marriage Story,"December 6, 2019","1,143",40,Color,137,1.66:1,7.9,,,"333,686"
0418131,The Sandlot 2,"May 3, 2005",,,Color,97,1.78:1,4.5,,,
