genre,mID
History,1398426
Music,1398426
Action,4575512
Adventure,4575512
Sci-Fi,4575512
Crime,0116745
Drama,0116745
Music,0116745
Thriller,0116745
Drama,0260866
Mystery,0260866
Thriller,0260866
Action,15430628
Comedy,15430628
Drama,15430628
Drama,16418896
Drama,9072352
Horror,9072352
Mystery,9072352
Thriller,9072352
Fantasy,1885325
Thriller,1885325
Animation,1731708
Adventure,1731708
Fantasy,1731708
Romance,1731708
Comedy,0109666
Fantasy,0109666
Action,6873692
Adventure,6873692
Crime,6873692
Fantasy,6873692
Sci-Fi,6873692
Thriller,6873692
Animation,1620449
Adventure,1620449
Comedy,1620449
Family,1620449
Drama,1686812
Romance,1686812
Action,6967966
Adventure,6967966
Crime,6967966
Drama,6967966
Thriller,6967966
Western,6967966
Action,0072886
Adventure,0072886
Comedy,0072886
Crime,0072886
Fantasy,0072886
Comedy,2365580
Drama,2365580
Action,0095016
Thriller,0095016
Crime,5459168
Drama,5459168
Mystery,5459168
Horror,0089274
Thriller,0089274
Comedy,0902290
Horror,0902290
Action,3881026
Crime,3881026
Drama,3881026
Fantasy,3881026
Crime,0120689
Drama,0120689
Fantasy,0120689
Mystery,0120689
Drama,0056869
Horror,0056869
Mystery,0056869
Romance,0056869
Animation,0078915
Comedy,0078915
Family,0078915
Music,0078915
Sci-Fi,0078915
Action,1551630
Crime,1551630
Mystery,1551630
Thriller,1551630
Documentary,15599258
Crime,15599258
Horror,2041331
Horror,0038338
Mystery,0038338
Comedy,2004420
Thriller,9075388
Crime,1900893
Drama,1900893
Comedy,0104412
Drama,0104412
Romance,0104412
Comedy,1878942
Drama,1878942
Romance,1878942
Crime,0101258
Drama,0101258
Romance,0101258
Action,8342680
Drama,8342680
Thriller,8342680
Animation,10904676
Short,10904676
Animation,3748256
Short,3748256
Comedy,3748256
Family,3748256
Sport,3748256
Documentary,15773254
Biography,15773254
Crime,15773254
Mystery,15773254
Drama,0099484
Adventure,6814914
Drama,6814914
Music,6814914
Comedy,1324059
Drama,1324059
Romance,1324059
Crime,0066214
Drama,0066214
Drama,0087884
Comedy,4565520
Romance,4565520
Horror,0058405
Mystery,0058405
Thriller,0058405
Action,0252462
Comedy,0252462
Comedy,0117397
Sci-Fi,0117397
Family,0117397
