locationID,mID
104,2049543
3,1398426
,4575512
105,0116745
4,0260866
106,15430628
,16418896
40,9072352
12,1885325
,1731708
3,0109666
,6873692
3,1620449
7,1686812
,6967966
107,0072886
37,2365580
3,0095016
,5459168
3,0089274
4,0902290
108,3881026
109,0120689
3,0056869
,0078915
26,1551630
,15599258
3,2041331
3,0038338
3,2004420
,9075388
,1900893
10,0104412
9,1878942
110,0101258
,8342680
,10904676
,3748256
,9077198
,15773254
17,0099484
111,6814914
56,1324059
7,0066214
12,0087884
112,4565520
7,0058405
88,0252462
,0117397
68,3602976
41,6679794
44,0075620
3,0101669
3,7493366
,1861225
,13060796
19,0110759
113,0067334
,2563158
,4885916
,9218128
,0450843
3,0295914
,15470214
22,5439812
,0088491
9,0845746
,11364112
,5235880
,3748918
,10431262
3,0081249
4,7369550
64,2535470
114,11349196
3,0101615
3,2401798
3,7043012
115,0063678
116,0080486
,12446086
,2162709
61,5651338
37,0082085
,15331908
,5769154
117,0346491
3,1340773
100,0077405
,16409202
58,0097770
,14812782
118,0061856
8,9652888
70,0091341
119,1540133
58,0120390
17,5121816
,0054567
,0051063
,4920450
120,3103620
,9707580
7,0055894
,0164917
7,0110889
8,0119196
37,1085779
36,1095217
19,0144714
,7034108
121,1630029
7,0372532
,0347791
,1458674
,2434578
3,0437863
17,0067500
30,0762125
58,8110232
122,1104123
7,0059635
54,12226808
7,0078680
3,0078308
3,0086525
83,1778346
3,1389137
9,0113028
123,0926762
9,3528666
6,0077975
,0291341
,0406310
124,6902676
3,0037166
,8888656
4,0111252
,14362698
3,9054192
,3629520
3,0098382
58,0099108
3,0026663
,1674782
125,3513548
,4738776
88,0460810
,3977848
73,0430770
,2180271
,0401398
55,0317648
75,0097630
7,0082509
58,1135503
,0077065
4,0482572
,4905554
3,0361693
126,0068282
127,0084887
3,0893509
3,0053611
7,0069715
128,0482374
,5513260
,0363668
3,0058530
61,2090883
3,0041162
129,0080641
7,4123430
130,8561690
3,3176418
37,0185014
131,0858492
43,0086036
4,0064665
3,0102862
,6851660
3,0020629
83,3289712
3,2490326
,4922730
109,0109446
3,1212974
132,0354356
19,2131644
133,1046997
77,8385474
,6443526
22,2101441
3,0119887
73,0161083
4,1010271
40,0238546
83,18765420
,1204343
4,10126434
