language,mID
English,0054067
Korean,14342730
English,0171356
English,0089200
English,5534434
English,12550376
Korean,2373094
English,0362942
Spanish,0362942
Japanese,7089878
English,7089878
English,0120241
English,0403407
English,1340094
English,15214902
English,3688342
English,3696720
English,12882620
Hindi,12882620
English,13152186
Danish,0220261
English,0220261
English,0115759
English,14112080
English,2980210
Arabic,2980210
English,2055789
English,7339862
English,0295178
Japanese,0295178
German,0295178
French,0295178
English,0421206
English,0145660
German,0145660
English,0036696
Korean,15181094
English,11057644
English,0072271
English,1253864
Greek,1253864
Italian,8595586
Russian,3893620
English,6992978
Korean,14408016
English,0350774
French,0350774
American Sign Language,0350774
English,0098143
English,0184894
Mandarin,0184894
Sioux,0184894
Spanish,0184894
English,0217107
English,9603082
English,11460508
English,0090881
English,0050143
English,0119707
English,0072239
English,0107302
English,0026714
English,9272568
English,0265086
Somali,0265086
Arabic,0265086
English,1828970
English,8707436
English,13130838
Japanese,14115938
English,0422720
Latin,0422720
French,0422720
English,9000224
Mandarin,9000224
Spanish,9000224
English,2390791
English,0417503
Japanese,0098492
English,10998174
English,0120738
English,4925292
Spanish,4925292
English,1031280
English,0046126
English,0050086
English,7040874
French,0052893
Japanese,0052893
English,0052893
English,0120780
Spanish,0120780
English,9861332
English,0449092
Japanese,0322645
English,0107978
Japanese,0107978
Cantonese,0325655
Thai,0325655
Mandarin,0325655
English,0325655
Hakka,0325655
English,0496436
English,5144174
English,0117008
English,0166973
English,0050147
English,10933680
Kannada,12015102
Hindi,12015102
Tamil,12015102
Telugu,12015102
Malayalam,12015102
Mandarin,12015102
French,12015102
Arabic,12015102
Russian,12015102
Spanish,12015102
English,12015102
English,13186604
English,1186370
Icelandic,4112470
English,4112470
English,16150204
Czech,0064546
English,0377713
French,0377713
Spanish,0377713
English,6208148
German,6208148
English,0092493
Spanish,0092493
Japanese,0092493
Swedish,5372890
English,11274100
English,6476140
French,6476140
English,0095655
English,0432348
English,1320296
English,8387464
English,0086618
English,0094061
English,0065481
English,0366777
English,1748207
English,0075936
English,0118607
Mende,0118607
Spanish,0118607
Portuguese,0118607
English,2719848
Russian,2719848
English,0041838
Turkish,12466076
Japanese,0159901
English,0166432
English,10071594
Yiddish,10071594
Hebrew,10071594
English,2971572
English,4025798
English,1516172
English,0133412
Spanish,0133412
English,0050419
French,0050419
English,0372884
English,4622122
Telugu,7765910
English,0981227
English,16304988
English,0113409
English,0109520
Icelandic,0109520
English,2175563
Mohawk,2175563
French,2175563
English,10767720
English,5021522
English,1454909
English,1493815
English,0051744
English,1174732
French,1174732
English,11394332
English,2334302
English,0267657
German,10986056
Japanese,15830678
English,0065528
Italian,0065528
Spanish,10399608
English,0033724
English,14044212
French,4964074
English,4919268
English,0102048
English,2027136
English,10601552
English,5810122
English,0368709
English,0319115
English,0266000
Hindi,0347304
English,0347304
English,1857842
Marathi,8396238
English,7144296
English,1837703
Icelandic,1837703
Swahili,1837703
Arabic,1837703
English,3511124
Spanish,3511124
English,2205697
English,0099653
Japanese,14500584
French,0079497
Hindi,8435324
English,2343793
Italian,2343793
English,0051850
English,0092099
Turkish,2051741
English,0056417
English,1844770
English,0046672
English,0057546
English,2265534
Korean,3985604
Korean,9151274
English,3305308
English,0229480
French,0079135
English,0113690
English,0091499
English,1528100
English,0233298
English,0339412
English,1515091
French,1515091
Italian,1515091
German,1515091
Romany,1515091
English,1564585
English,0037098
French,0037098
English,6889090
English,0302327
English,3169706
Welsh,3169706
English,0090477
English,0087892
Hindi,0087892
English,0103270
English,0107178
English,0041361
English,10441822
English,0838800
English,14668630
English,0025997
English,11236218
English,0117060
French,0117060
Czech,0117060
English,0042097
English,1814277
Japanese,0142244
English,8196068
English,10451914
Ukrainian,10451914
Russian,10451914
English,0438315
Japanese,8530992
Spanish,0075389
English,0075389
English,0795368
German,0108829
English,0043232
English,0052847
Dutch,7785420
English,0092746
English,0099204
English,0319524
English,9679528
English,2446980
Spanish,2446980
French,2446980
Korean,3516378
English,0048990
German,0048990
Spanish,0048990
English,0098156
English,2402105
Japanese,5309954
French,9056902
English,0119528
English,0109813
English,2552498
English,3503406
English,0106087
English,1462758
Arabic,1462758
English,11737466
Spanish,0059719
Latin,0059719
Turkish,16259122
Korean,12485966
English,0116075
English,5768992
English,0124595
Hindi,2357489
Telugu,2357489
English,0085384
English,0073705
French,0073705
Hindi,7721946
English,0100586
English,0082338
English,0078111
English,1366312
English,15824142
Czech,0058100
English,0058100
Japanese,0093529
English,0451192
Spanish,0451192
Haitian,0451192
Mandarin,0451192
English,2560078
English,13521006
Japanese,6587046
English,0077745
French,0077745
English,0078277
English,0073629
English,11053476
English,0057786
Dutch,1705118
Russian,0417397
English,1582507
Hebrew,13968792
Arabic,13968792
Norwegian,13968792
Cantonese,0357894
English,0357894
English,0324013
French,0059168
Japanese,0108188
English,0065597
English,1176251
French,1176251
English,12789558
English,5238848
English,0770772
English,4537896
English,0327247
Hungarian,0327247
Hebrew,0327247
English,0393956
English,8580274
Icelandic,8580274
Portuguese,8580274
Mandarin,6288650
English,6511722
English,0114694
English,3654680
English,0093036
English,6438108
English,0104573
English,0446013
Icelandic,0446013
English,8550732
English,0074737
English,0065569
Spanish,0065569
Italian,0065569
German,0065569
Russian,1758656
English,0284978
English,0101912
English,14538850
Spanish,1677709
English,6222118
French,6222118
English,6921996
Russian,6921996
French,6921996
German,6921996
English,0119640
English,0051758
English,0120728
Russian,4594124
English,0085615
English,9410034
English,0192614
Romanian,1470024
English,17544246
English,0076584
German,0076584
French,0076584
Italian,0076584
Chinese,10370822
Mandarin,10370822
English,10370822
Japanese,10370822
English,0304415
Italian,0304415
English,0107212
English,0069341
English,15106860
English,0097328
English,0038669
English,0265349
English,0455565
English,8178650
English,6990734
English,8241768
English,12580982
English,14445366
German,8524580
English,1895587
English,0068264
Hindi,16750728
English,0327679
English,0026029
Tamil,6148156
English,0081617
English,2221648
English,0061655
Japanese,9015178
English,15789038
English,1981115
English,0094137
English,15100070
English,1925493
English,12676326
English,0098645
English,1074218
English,7124092
English,0374526
English,6012380
English,0465657
English,0085385
English,1440129
Japanese,1440129
English,4184878
English,4652650
Klingon,4652650
Czech,1181833
German,1181833
Spanish,1181833
French,1181833
Russian,1181833
Sicilian,1181833
Italian,1181833
English,1181833
Cantonese,1181833
English,9815714
English,0120587
Hindi,9052870
English,0350194
Mandarin,0072913
French,1167660
English,1167660
Hebrew,1167660
Portuguese,1167660
English,4520988
English,15010292
Greek,15010292
German,15010292
Japanese,4262980
Japanese Sign Language,4262980
English,4262980
German,4262980
English,0382932
French,0382932
English,14826022
English,0189456
English,0245573
English,0380687
English,1181795
Japanese,1181795
English,0107211
English,0069298
English,14696284
English,0070047
Latin,0070047
Greek,0070047
French,0070047
German,0070047
Arabic,0070047
Kurdish,0070047
Mandarin,9695722
English,9695722
English,4372390
English,0087924
English,0147773
English,0062585
English,10671240
English,1001562
English,1684233
English,6794476
French,0046992
English,0046992
English,0106084
English,0102900
Italian,0075984
None,13680598
English,0185114
Spanish,0185114
English,1723808
English,0253754
English,0069461
English,0078335
Italian,1565068
English,0470752
Swedish,2708782
English,0070915
English,0077416
Vietnamese,0077416
French,0077416
Russian,0077416
Cantonese,0077416
Hindi,7778680
English,7778680
English,0829297
English,0082146
English,0050356
German,0050356
English,3622592
Japanese,0182646
English,0118583
Spanish,0118583
Cantonese,0399102
English,0399102
Japanese,0399102
English,4729754
English,8545540
Norwegian,2369205
English,2369205
English,7923612
Italian,0067434
English,0276816
German,0276816
English,2710826
Japanese,2575678
English,0039589
English,0266915
Mandarin,0266915
Cantonese,0266915
Persian,0100234
Azerbaijani,0100234
English,9293522
English,1392197
Turkish,3069758
English,4019560
Spanish,4019560
English,5795144
English,17624610
English,4938374
English,0499097
English,8372298
Arabic,8372298
Spanish,0070040
Swedish,0837106
English,0837106
Arabic,0837106
French,0837106
Latin,0837106
English,0450259
Mende,0450259
Afrikaans,0450259
English,2315596
English,9472532
Korean,6157190
English,0134630
English,9695682
English,0188453
Russian,0188453
English,6263850
English,0082348
English,3576728
English,0120788
Spanish,0120788
German,0120788
English,1684927
English,1015474
English,4911996
Mandarin,4911996
English,7657566
French,7657566
English,0121164
English,0053172
French,0053172
English,16248012
French,0082309
English,1285305
Hindi,10699044
Japanese,10635210
English,0022208
Cantonese,0022208
English,0113321
English,0089997
Spanish,0089997
English,10461542
English,5617312
French,5617312
Italian,5617312
English,8390502
Turkish,14639598
English,1535970
English,5442430
Japanese,5442430
Vietnamese,5442430
English,8816194
English,0074670
English,9731682
English,14513804
Malayalam,15842078
English,0893412
Spanish,0893412
English,1018818
French,0088748
English,0064100
English,0087985
Russian,0087985
Spanish,0087985
English,0112438
English,1073668
English,0465624
English,18079796
Russian,18079796
German,18079796
Japanese,18079796
Spanish,18079796
Chinese,18079796
English,0105391
German,0105391
Italian,15564662
Korean,1588170
English,1781896
English,10872880
English,1407084
English,0064045
French,0064045
Italian,0064045
English,1458902
English,4109756
English,0040705
English,0062168
English,0118954
Hebrew,0118954
English,0086789
English,9686350
English,4276820
Yiddish,4276820
English,0327437
Cantonese,0327437
French,0327437
German,0327437
Hindi,0327437
Turkish,0327437
Turkish,6942048
English,0069947
Italian,0069947
French,0069947
English,3905764
Portuguese,8217188
French,8217188
English,8217188
English,0068206
French,7029854
English,7029854
Spanish,7029854
English,7894510
English,0469062
English,7703924
English,0228183
German,7845932
English,1587000
Polish,1587000
Indonesian,1587000
Turkish,1587000
English,0057918
English,0053604
English,0071838
English,1680045
German,1680045
Arabic,1680045
French,1680045
Portuguese,1680045
Russian,1680045
Slovak,1680045
English,1262416
English,15548144
English,9620288
English,0132477
English,0455499
Japanese,9116358
English,0363282
Swedish,10505002
Romanian,10505002
English,10505002
English,0058953
Japanese,7941892
English,11375842
English,0051221
Filipino,0094059
Italian,0094059
English,0094059
Hindi,1971365
English,0049261
Spanish,0049261
English,2090465
English,0095159
Italian,0095159
Russian,0095159
French,0095159
Japanese,0055198
English,0055198
Indonesian,0055198
Mandarin,9288776
English,9288776
English,0091886
Spanish,0091886
English,0343818
English,0265087
English,6316816
English,3148834
French,3148834
German,3148834
Danish,7909878
Swedish,7909878
English,2039393
English,0758766
English,5247022
Italian,5247022
English,0118063
English,0900357
English,9357050
English,1185266
English,0411806
English,11563364
Kannada,6656262
English,10731256
English,17050858
Bulgarian,12595378
English,0312549
English,1400526
English,8322060
English,1436562
Portuguese,1436562
Arabic,1436562
Spanish,3896100
Catalan,3896100
English,3896100
Spanish,1235827
English,1601913
Spanish,1601913
Swedish,1846197
English,0084776
Greek,0084776
English,0910905
English,10857164
English,0814365
Italian,8594376
English,4727692
English,14375970
English,0247091
Polish,0128378
Tatar,0128378
Ukrainian,0128378
Turkish,0128378
Italian,0073170
English,0365478
Russian,1272051
English,0219105
English,6264182
English,16480014
English,0056262
English,0037280
Yiddish,0037280
English,4768656
English,1691917
Spanish,1691917
French,1691917
German,1691917
Mandarin,1691917
Icelandic,1691917
English,1129442
French,1129442
Ukrainian,1129442
Russian,1129442
Hungarian,1129442
English,0080408
German,0080408
Czech,0080408
French,0080408
Korean,12491064
English,0453446
English,1034818
English,0411475
German,0419449
Croatian,0419449
English,0419449
English,14096132
English,11151336
English,0340110
English,0298148
English,0257756
Spanish,0257756
English,6723592
Russian,6723592
Ukrainian,6723592
Estonian,6723592
Norwegian,6723592
Hindi,6723592
English,5113086
Danish,0418455
Japanese,8250240
English,3203616
Yiddish,3203616
English,13309742
Spanish,14035242
English,12536294
English,11674948
English,8010354
English,0234817
English,10933008
English,5770864
None,0014429
English,0467110
English,0081838
English,2948372
Korean,2948372
Inuktitut,2948372
English,15209992
English,0088116
English,1196124
English,0073896
French,0073896
English,0061173
English,0114733
English,1119191
Norwegian,8753438
English,2091478
Czech,0407236
Hindi,11260832
English,0117913
English,0470000
English,7153488
English,14418052
English,14190592
English,0104922
English,0047162
English,0104850
English,0112585
Japanese,1517216
English,6722726
English,8205060
English,0380862
Mandarin,5779650
English,5779650
Macedonian,5779650
English,16604100
English,0202402
English,0034272
French,0034272
Italian,0034272
English,2404465
English,8510350
English,10730776
English,0093793
American Sign Language,0093793
English,0484831
English,2404311
French,2404311
Italian,2404311
Russian,2802154
English,1200263
English,0064704
English,0119227
English,1531804
English,0110950
English,1386691
English,1403865
English,0087507
English,0109045
Filipino,0109045
English,15407098
Japanese,12682080
Japanese,1125254
English,1125254
Spanish,7308086
English,0309150
Sioux,0309150
Mohawk,0309150
English,0055798
English,0102690
English,0112985
English,1971325
French,0070359
English,0041947
English,18556330
Maori,18556330
Samoan,18556330
English,9185066
English,0147800
French,0147800
English,0810922
English,4288674
Spanish,4288674
English,0077223
English,0129672
English,0053804
English,8956324
English,0146984
Hindi,5542802
English,1020530
English,7336182
English,0116684
French,0116684
English,0107131
English,0475380
Mandarin,1308138
Korean,8236544
Russian,10648714
English,1266036
English,2119543
English,0031762
Spanish,0031762
English,5430544
English,0032520
English,0206285
English,0114048
Vietnamese,0114048
English,4961498
English,0060548
French,0084589
English,3534842
English,16421392
English,1683043
English,13139228
English,0037008
English,1053859
Japanese,1053859
English,0061810
English,0220906
English,0383122
None,0383122
English,0278435
English,0103919
English,0116756
German,5451118
Portuguese,5451118
English,5451118
French,5451118
Spanish,5451118
Cantonese,0485976
English,0068675
English,0146838
Malayalam,15560626
English,0088476
Korean,12477480
Chinese,12477480
English,0294594
English,7755856
German,7755856
German,0320661
English,0320661
Arabic,0320661
Latin,0320661
Italian,0320661
English,0100156
English,0805564
Spanish,0805564
English,1047540
English,0084980
English,3262342
English,0028346
English,1496025
Russian,1496025
Hindi,3802576
English,3802576
English,4500922
English,0022827
English,0085346
Serbo-Croatian,0076276
English,0082122
English,0399327
English,0118604
French,0118604
German,0118604
English,11388416
English,10333426
English,5462602
Urdu,5462602
English,0117991
French,6314690
English,10047958
Mandarin,12026524
English,0111143
English,10364272
Mandarin,10773384
Hindi,16729514
English,0071391
English,0076119
English,0119137
English,9664948
English,0080377
English,1470023
Russian,1470023
Spanish,1864750
English,1864750
German,1864750
Portuguese,1864750
Serbian,0425379
Danish,0425379
Polish,0425379
Korean,2025506
Thai,11815104
English,1741273
English,15690300
English,0047209
English,8946378
Spanish,8946378
Hindi,8946378
English,2609778
Norwegian,1595833
Swedish,1595833
English,1595833
English,0491175
French,0274117
English,0402399
Algonquin,0402399
Inuktitut,0402399
English,2572632
English,11010074
English,0452643
Spanish,0452643
Mandarin,1717715
English,0252076
French,0252076
Spanish,0252076
Portuguese,2303077
Mandarin,0073206
Korean,14518284
English,0064603
Cantonese,0064603
Spanish,0064603
None,0019824
English,0019824
English,5963066
English,14466362
English,0073605
English,2193265
English,0042276
English,0190524
Italian,0054099
French,0054099
English,0104187
Polish,9399222
English,0841046
English,0067630
German,0066104
English,4855868
Cantonese,1407972
Mandarin,1407972
Tagalog,1407972
English,1407972
English,0070666
